Abbr,Season,GP,W,Playoff_Result
ANA,2024-25,82,35,
ANA,2023-24,82,27,
ANA,2022-23,82,23,
ANA,2021-22,82,31,
ANA,2020-21,56,17,
ANA,2019-20,71,29,
ANA,2018-19,82,35,
ANA,2017-18,82,44,Lost NHL First Round
ANA,2016-17,82,46,Lost NHL Conference Finals
ANA,2015-16,82,46,Lost NHL First Round
ANA,2014-15,82,51,Lost NHL Conference Finals
ANA,2013-14,82,54,Lost NHL Second Round
ANA,2012-13,48,30,Lost NHL Conference Quarter-Finals
ANA,2011-12,82,34,
ANA,2010-11,82,47,Lost NHL Conference Quarter-Finals
ANA,2009-10,82,39,
ANA,2008-09,82,42,Lost NHL Conference Semi-Finals
ANA,2007-08,82,47,Lost NHL Conference Quarter-Finals
ANA,2006-07,82,48,Won Stanley Cup Final
ANA,2005-06,82,43,Lost NHL Conference Finals
ARI,2023-24,82,36,
ARI,2022-23,82,28,
ARI,2021-22,82,25,
ARI,2020-21,56,24,
ARI,2019-20,70,33,Lost NHL First Round
ARI,2018-19,82,39,
ARI,2017-18,82,29,
ARI,2016-17,82,30,
ARI,2015-16,82,35,
ARI,2014-15,82,24,
ARI,2013-14,82,37,
ARI,2012-13,48,21,
ARI,2011-12,82,42,Lost NHL Conference Finals
ARI,2010-11,82,43,Lost NHL Conference Quarter-Finals
ARI,2009-10,82,50,Lost NHL Conference Quarter-Finals
ARI,2008-09,82,36,
ARI,2007-08,82,38,
ARI,2006-07,82,31,
ARI,2005-06,82,38,
BOS,2024-25,82,33,
BOS,2023-24,82,47,Lost NHL Second Round
BOS,2022-23,82,65,Lost NHL First Round
BOS,2021-22,82,51,Lost NHL First Round
BOS,2020-21,56,33,Lost NHL Second Round
BOS,2019-20,70,44,Lost NHL Second Round
BOS,2018-19,82,49,Lost Stanley Cup Final
BOS,2017-18,82,50,Lost NHL Second Round
BOS,2016-17,82,44,Lost NHL First Round
BOS,2015-16,82,42,
BOS,2014-15,82,41,
BOS,2013-14,82,54,Lost NHL Second Round
BOS,2012-13,48,28,Lost Stanley Cup Final
BOS,2011-12,82,49,Lost NHL Conference Quarter-Finals
BOS,2010-11,82,46,Won Stanley Cup Final
BOS,2009-10,82,39,Lost NHL Conference Semi-Finals
BOS,2008-09,82,53,Lost NHL Conference Semi-Finals
BOS,2007-08,82,41,Lost NHL Conference Quarter-Finals
BOS,2006-07,82,35,
BOS,2005-06,82,29,
BUF,2024-25,82,36,
BUF,2023-24,82,39,
BUF,2022-23,82,42,
BUF,2021-22,82,32,
BUF,2020-21,56,15,
BUF,2019-20,69,30,
BUF,2018-19,82,33,
BUF,2017-18,82,25,
BUF,2016-17,82,33,
BUF,2015-16,82,35,
BUF,2014-15,82,23,
BUF,2013-14,82,21,
BUF,2012-13,48,21,
BUF,2011-12,82,39,
BUF,2010-11,82,43,Lost NHL Conference Quarter-Finals
BUF,2009-10,82,45,Lost NHL Conference Quarter-Finals
BUF,2008-09,82,41,
BUF,2007-08,82,39,
