draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score
2005,1,1,Pittsburgh Penguins,Sidney Crosby,C,1417.0,1756.0,1366.28
2005,1,2,Anaheim Ducks,Bobby Ryan,R,866.0,569.0,891.65
2005,1,3,Carolina Hurricanes,Jack Johnson,D,1228.0,342.0,583.05
2005,1,4,Minnesota Wild,Benoit Pouliot,L,625.0,263.0,699.05
2005,1,6,Columbus Blue Jackets,Gilbert Brule,C,299.0,95.0,516.55
2005,1,7,Chicago Blackhawks,Jack Skille,R,368.0,84.0,542.09
2005,1,8,San Jose Sharks,Devin Setoguchi,R,516.0,261.0,768.36
2005,1,9,Ottawa Senators,Brian Lee,D,209.0,36.0,291.44
2005,1,10,Vancouver Canucks,Luc Bourdon,D,36.0,2.0,40.58
2005,1,11,Los Angeles Kings,Anze Kopitar,C,1515.0,1314.0,1063.08
2005,1,12,New York Rangers,Marc Staal,D,1136.0,234.0,523.93
2005,1,13,Buffalo Sabres,Marek Zagrapan,C,0.0,0.0,0.0
2005,1,14,Washington Capitals,Sasha Pokulok,D,0.0,0.0,0.0
2005,1,15,New York Islanders,Ryan O'Marra,C,33.0,7.0,49.03
2005,1,16,Winnipeg Jets,Alex Bourret,R,0.0,0.0,0.0
2005,1,17,Arizona Coyotes,Martin Hanzal,C,673.0,338.0,765.44
2005,1,18,Nashville Predators,Ryan Parent,D,106.0,7.0,122.03
2005,1,19,Detroit Red Wings,Jakub Kindl,D,331.0,74.0,500.46
2005,1,20,Florida Panthers,Kenndal McArdle,L,42.0,3.0,48.87
2005,1,22,Boston Bruins,Matt Lashoff,D,74.0,16.0,110.64
2005,1,23,New Jersey Devils,Nicklas Bergfors,R,173.0,83.0,363.07
2005,1,24,St. Louis Blues,T.J. Oshie,R,1010.0,695.0,916.98
2005,1,25,Edmonton Oilers,Andrew Cogliano,C,1294.0,464.0,648.33
2005,1,26,Calgary Flames,Matt Pelech,R,13.0,4.0,22.16
2005,1,27,Washington Capitals,Joe Finley,D,21.0,1.0,23.29
2005,1,28,Dallas Stars,Matt Niskanen,D,949.0,356.0,661.82
2005,1,29,Philadelphia Flyers,Steve Downie,R,434.0,196.0,724.17
2005,1,30,Tampa Bay Lightning,Vladimir Mihalik,D,15.0,3.0,21.87
2005,2,31,Anaheim Ducks,Brendan Mikkelson,L,131.0,10.0,153.9
2005,2,33,Dallas Stars,James Neal,L,869.0,559.0,880.42
2005,2,34,Colorado Avalanche,Ryan Stoa,C,40.0,7.0,56.03
2005,2,35,San Jose Sharks,Marc-Edouard Vlasic,D,1323.0,379.0,589.54
2005,2,36,Edmonton Oilers,Taylor Chorney,D,166.0,22.0,216.38
2005,2,37,St. Louis Blues,Scott Jackson,D,1.0,0.0,1.0
2005,2,39,Boston Bruins,Petr Kalus,R,11.0,5.0,22.45
2005,2,40,New York Rangers,Mike Sauer,D,98.0,18.0,139.22
2005,2,42,Detroit Red Wings,Justin Abdelkader,L,739.0,252.0,634.0
2005,2,43,Chicago Blackhawks,Mike Blunden,R,127.0,13.0,156.77
2005,2,44,Colorado Avalanche,Paul Stastny,C,1145.0,822.0,941.26
2005,2,45,Montreal Canadiens,Guillaume Latendresse,R,341.0,147.0,677.63
2005,2,46,New York Islanders,Dustin Kohn,D,22.0,4.0,31.16
2005,2,47,Colorado Avalanche,Tom Fritsche,L,0.0,0.0,0.0
2005,2,48,Buffalo Sabres,Philipp Gogulla,L,0.0,0.0,0.0
2005,2,49,Winnipeg Jets,Chad Denny,D,0.0,0.0,0.0
