draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score,hindsight_rank,plus_minus,team_color
2005,1,1,Pittsburgh,Sidney Crosby,C,1408.0,1746.0,5406.34,1,0,#FCB514
2005,1,2,Anaheim,Bobby Ryan,R,866.0,569.0,2169.01,9,-7,#F47A38
2005,1,3,Carolina,Jack Johnson,D,1228.0,342.0,2011.18,12,-9,#CC0000
2005,1,4,Minnesota,Benoit Pouliot,L,625.0,263.0,1227.27,21,-17,#154734
2005,1,6,Columbus,Gilbert Brule,C,299.0,95.0,516.55,39,-33,#002654
2005,1,7,Chicago,Jack Skille,R,368.0,84.0,560.36,36,-29,#CF0A2C
2005,1,8,San Jose,Devin Setoguchi,R,516.0,261.0,1113.69,24,-16,#006D75
2005,1,9,Ottawa,Brian Lee,D,209.0,36.0,291.44,45,-36,#C8102E
2005,1,10,Vancouver,Luc Bourdon,D,36.0,2.0,40.58,72,-62,#00205B
2005,1,11,Los Angeles,Anze Kopitar,C,1503.0,1305.0,4491.45,2,9,#111111
2005,1,12,NY Rangers,Marc Staal,D,1136.0,234.0,1671.86,14,-2,#0038A8
2005,1,13,Buffalo,Marek Zagrapan,C,0.0,0.0,0.0,101,-88,#003087
2005,1,14,Washington,Sasha Pokulok,D,0.0,0.0,0.0,101,-87,#CF0A2C
2005,1,15,NY Islanders,Ryan O'Marra,C,33.0,7.0,49.03,69,-54,#F47D30
2005,1,16,Winnipeg,Alex Bourret,R,0.0,0.0,0.0,101,-85,#004C97
2005,1,17,Arizona,Martin Hanzal,C,673.0,338.0,1447.02,17,0,#8C2633
2005,1,18,Nashville,Ryan Parent,D,106.0,7.0,122.03,59,-41,#FFB81C
2005,1,19,Detroit,Jakub Kindl,D,331.0,74.0,500.46,40,-21,#CE1126
2005,1,20,Florida,Kenndal McArdle,L,42.0,3.0,48.87,70,-50,#C9082A
2005,1,22,Boston,Matt Lashoff,D,74.0,16.0,110.64,61,-39,#FFB81C
2005,1,23,New Jersey,Nicklas Bergfors,R,173.0,83.0,363.07,42,-19,#CE1126
2005,1,24,St. Louis,T.J. Oshie,R,1010.0,695.0,2601.55,5,19,#002F87
2005,1,25,Edmonton,Andrew Cogliano,C,1294.0,464.0,2356.56,7,18,#041E42
2005,1,26,Calgary,Matt Pelech,R,13.0,4.0,22.16,76,-50,#D2001C
2005,1,27,Washington,Joe Finley,D,21.0,1.0,23.29,74,-47,#CF0A2C
2005,1,28,Dallas,Matt Niskanen,D,949.0,356.0,1764.24,13,15,#006847
2005,1,29,Philadelphia,Steve Downie,R,434.0,196.0,882.84,27,2,#F74902
2005,1,30,Tampa Bay,Vladimir Mihalik,D,15.0,3.0,21.87,77,-47,#002868
2005,2,31,Anaheim,Brendan Mikkelson,L,131.0,10.0,153.9,56,-25,#F47A38
2005,2,33,Dallas,James Neal,L,869.0,559.0,2149.11,10,23,#006847
2005,2,34,Colorado,Ryan Stoa,C,40.0,7.0,56.03,68,-34,#6F263D
2005,2,35,San Jose,Marc-Edouard Vlasic,D,1323.0,379.0,2190.91,8,27,#006D75
2005,2,36,Edmonton,Taylor Chorney,D,166.0,22.0,216.38,50,-14,#041E42
2005,2,37,St. Louis,Scott Jackson,D,1.0,0.0,1.0,95,-58,#002F87
2005,2,39,Boston,Petr Kalus,R,11.0,5.0,22.45,75,-36,#FFB81C
2005,2,40,NY Rangers,Mike Sauer,D,98.0,18.0,139.22,58,-18,#0038A8
2005,2,42,Detroit,Justin Abdelkader,L,739.0,252.0,1316.08,19,23,#CE1126
2005,2,43,Chicago,Mike Blunden,R,127.0,13.0,156.77,55,-12,#CF0A2C
2005,2,44,Colorado,Paul Stastny,C,1145.0,822.0,3027.38,4,40,#6F263D
2005,2,45,Montreal,Guillaume Latendresse,R,341.0,147.0,677.63,32,13,#AF1E2D
2005,2,46,NY Islanders,Dustin Kohn,D,22.0,4.0,31.16,73,-27,#F47D30
2005,2,47,Colorado,Tom Fritsche,L,0.0,0.0,0.0,101,-54,#6F263D
2005,2,48,Buffalo,Philipp Gogulla,L,0.0,0.0,0.0,101,-53,#003087
2005,2,49,Winnipeg,Chad Denny,D,0.0,0.0,0.0,101,-52,#004C97
2005,2,50,Los Angeles,Dany Roussin,L,0.0,0.0,0.0,101,-51,#111111
2005,2,51,Vancouver,Mason Raymond,L,546.0,251.0,1120.79,23,28,#00205B
2005,2,52,Colorado,Chris Durand,C,0.0,0.0,0.0,101,-49,#6F263D
2005,2,53,Winnipeg,Andrew Kozek,W,0.0,0.0,0.0,101,-48,#004C97
2005,2,54,Chicago,Dan Bertram,R,0.0,0.0,0.0,101,-47,#CF0A2C
2005,2,55,Columbus,Adam McQuaid,D,512.0,73.0,679.17,31,24,#002654
2005,2,56,NY Rangers,Marc-Andre Cliche,C,151.0,14.0,183.06,53,3,#0038A8
2005,2,57,Minnesota,Matt Kassian,L,76.0,5.0,87.45,62,-5,#154734
2005,2,58,Carolina,Nate Hagemo,D,0.0,0.0,0.0,101,-43,#CC0000
2005,2,60,Los Angeles,T.J. Fast,D,0.0,0.0,0.0,101,-41,#111111
2005,2,61,Pittsburgh,Michael Gergen,D,0.0,0.0,0.0,101,-40,#FCB514
2005,3,62,Pittsburgh,Kristopher Letang,D,1220.0,799.0,3049.71,3,59,#FCB514
2005,3,63,Anaheim,Jason Bailey,R,0.0,0.0,0.0,101,-38,#F47A38
2005,3,64,Carolina,Joe Barnes,C,0.0,0.0,0.0,101,-37,#CC0000
2005,3,66,NY Rangers,Brodie Dupont,L,1.0,0.0,1.0,95,-29,#0038A8
2005,3,67,Columbus,Kris Russell,D,912.0,254.0,1493.66,16,51,#002654
2005,3,68,Chicago,Evan Brophey,C,4.0,0.0,4.0,92,-24,#CF0A2C
2005,3,69,Calgary,Gord Baldwin,D,0.0,0.0,0.0,101,-32,#D2001C
2005,3,70,Ottawa,Vitali Anikeyenko,D,0.0,0.0,0.0,101,-31,#C8102E
2005,3,71,Dallas,Richard Clune,L,139.0,22.0,189.38,52,19,#006847
2005,3,73,Tampa Bay,Radek Smolenak,L,7.0,1.0,9.29,86,-13,#002868
2005,3,74,Calgary,Dan Ryder,C,0.0,0.0,0.0,101,-27,#D2001C
2005,3,75,Dallas,Perttu Lindgren,C,1.0,0.0,1.0,95,-20,#006847
2005,3,76,NY Islanders,Shea Guthrie,C,0.0,0.0,0.0,101,-25,#F47D30
2005,3,77,NY Rangers,Dalyn Flatt,D,0.0,0.0,0.0,101,-24,#0038A8
2005,3,78,Nashville,Teemu Laakso,D,17.0,0.0,17.0,78,0,#FFB81C
2005,3,79,Nashville,Cody Franson,D,550.0,212.0,1035.48,25,54,#FFB81C
2005,3,80,Detroit,Christofer Lofberg,C,0.0,0.0,0.0,101,-21,#CE1126
2005,3,81,Edmonton,Danny Syvret,D,59.0,7.0,75.03,66,15,#041E42
2005,3,82,Toronto,Phil Oreskovic,D,10.0,2.0,14.58,80,2,#003E7E
2005,3,83,Boston,Mikko Lehtonen,R,2.0,0.0,2.0,94,-11,#FFB81C
2005,3,84,New Jersey,Mark Fraser,D,219.0,22.0,269.38,46,38,#CE1126
2005,3,86,Edmonton,Robby Dee,C,0.0,0.0,0.0,101,-15,#041E42
2005,3,87,Buffalo,Marc-Andre Gragnani,D,78.0,18.0,119.22,60,27,#003087
2005,3,88,Colorado,T.J. Hensick,R,112.0,38.0,199.02,51,37,#6F263D
2005,3,89,Tampa Bay,Chris Lawrence,R,0.0,0.0,0.0,101,-12,#002868
2005,3,90,Florida,Dan Collins,R,0.0,0.0,0.0,101,-11,#C9082A
2005,3,91,Philadelphia,Oskars Bartulis,D,66.0,9.0,86.61,63,28,#F74902
2005,4,92,Tampa Bay,Marek Bartanus,R,0.0,0.0,0.0,101,-9,#002868
2005,4,93,Florida,Olivier Legault,L,0.0,0.0,0.0,101,-8,#C9082A
2005,4,94,Carolina,Jakub Vojta,D,0.0,0.0,0.0,101,-7,#CC0000
2005,4,95,Ottawa,Cody Bass,C,75.0,5.0,86.45,64,31,#C8102E
2005,4,96,Buffalo,Chris Butler,D,407.0,86.0,603.94,34,62,#003087
2005,4,97,Edmonton,Chris VandeVelde,C,278.0,48.0,387.92,41,56,#041E42
2005,4,98,Ottawa,Ilya Zubov,C,11.0,2.0,15.58,79,19,#C8102E
2005,4,99,New Jersey,Patrick Davis,L,9.0,1.0,11.29,84,15,#CE1126
2005,4,100,Boston,Jonathan Sigalet,D,1.0,0.0,1.0,95,5,#FFB81C
2005,4,101,Columbus,Jared Boll,R,579.0,66.0,730.14,30,71,#002654
2005,4,102,Tampa Bay,Blair Jones,C,132.0,17.0,170.93,54,48,#002868
2005,4,103,Detroit,Mattias Ritola,R,43.0,9.0,63.61,67,36,#CE1126
2005,4,104,Florida,Matt Duffy,D,0.0,0.0,0.0,101,3,#C9082A
