draft_year,round,pick_number,team,player_name,position,games_played,points,performance_score,expected_performance,draft_value
2005,1,1,Pittsburgh,Sidney Crosby,C,1417.0,1756.0,1366.28,1064.72,301.56
2005,1,2,Anaheim,Bobby Ryan,R,866.0,569.0,891.65,891.85,-0.2
2005,1,3,Carolina,Jack Johnson,D,1228.0,342.0,583.05,886.09,-303.04
2005,1,4,Minnesota,Benoit Pouliot,L,625.0,263.0,699.05,797.2,-98.15
2005,1,6,Columbus,Gilbert Brule,C,299.0,95.0,516.55,733.33,-216.78
2005,1,7,Chicago,Jack Skille,R,368.0,84.0,542.09,762.06,-219.97
2005,1,8,San Jose,Devin Setoguchi,R,516.0,261.0,768.36,580.9,187.46
2005,1,9,Ottawa,Brian Lee,D,209.0,36.0,291.44,783.1,-491.66
2005,1,10,Vancouver,Luc Bourdon,D,36.0,2.0,40.58,613.02,-572.44
2005,1,11,Los Angeles,Anze Kopitar,C,1515.0,1314.0,1063.08,522.52,540.56
2005,1,12,NY Rangers,Marc Staal,D,1136.0,234.0,523.93,626.88,-102.95
2005,1,13,Buffalo,Marek Zagrapan,C,0.0,0.0,0.0,541.74,-541.74
2005,1,14,Washington,Sasha Pokulok,D,0.0,0.0,0.0,578.56,-578.56
2005,1,15,NY Islanders,Ryan O'Marra,C,33.0,7.0,49.03,576.66,-527.63
2005,1,16,Winnipeg,Alex Bourret,R,0.0,0.0,0.0,615.55,-615.55
2005,1,17,Arizona,Martin Hanzal,C,673.0,338.0,765.44,525.27,240.17
2005,1,18,Nashville,Ryan Parent,D,106.0,7.0,122.03,507.88,-385.85
2005,1,19,Detroit,Jakub Kindl,D,331.0,74.0,500.46,440.82,59.64
2005,1,20,Florida,Kenndal McArdle,L,42.0,3.0,48.87,551.61,-502.74
2005,1,22,Boston,Matt Lashoff,D,74.0,16.0,110.64,495.46,-384.82
2005,1,23,New Jersey,Nicklas Bergfors,R,173.0,83.0,363.07,366.86,-3.79
2005,1,24,St. Louis,T.J. Oshie,R,1010.0,695.0,916.98,462.24,454.74
2005,1,25,Edmonton,Andrew Cogliano,C,1294.0,464.0,648.33,367.93,280.4
2005,1,26,Calgary,Matt Pelech,R,13.0,4.0,22.16,673.33,-651.17
2005,1,27,Washington,Joe Finley,D,21.0,1.0,23.29,383.0,-359.71
