team,round,total_draft_value,total_picks,avg_draft_value_per_pick,round_rank,round_rank_pct
Anaheim Ducks,1,388.39,15,25.89,14,0.58
Anaheim Ducks,2,-183.05,16,-11.44,18,0.45
Anaheim Ducks,3,-856.74,12,-71.4,26,0.19
Anaheim Ducks,4,586.64,10,58.66,8,0.77
Anaheim Ducks,5,420.94,12,35.08,8,0.77
Anaheim Ducks,6,12.64,7,1.81,15,0.55
Anaheim Ducks,7,439.33,6,73.22,5,0.87
Arizona Coyotes,1,-961.68,18,-53.43,24,0.26
Arizona Coyotes,2,-935.94,13,-72.0,25,0.23
Arizona Coyotes,3,-743.96,14,-53.14,22,0.32
Arizona Coyotes,4,518.21,9,57.58,9,0.73
Arizona Coyotes,5,382.63,11,34.78,9,0.74
Arizona Coyotes,6,-500.7,6,-83.45,30,0.05
Arizona Coyotes,7,-515.72,11,-46.88,22,0.32
Boston Bruins,1,142.08,14,10.15,15,0.55
Boston Bruins,2,296.54,15,19.77,12,0.65
Boston Bruins,3,994.13,6,165.69,3,0.94
Boston Bruins,4,-16.8,9,-1.87,16,0.5
Boston Bruins,5,-458.59,11,-41.69,24,0.26
Boston Bruins,6,-140.01,11,-12.73,16,0.52
Boston Bruins,7,-604.32,12,-50.36,24,0.26
Buffalo Sabres,1,-371.45,15,-24.76,17,0.48
Buffalo Sabres,2,-517.54,15,-34.5,20,0.39
Buffalo Sabres,3,-1295.67,14,-92.55,28,0.13
Buffalo Sabres,4,465.48,10,46.55,10,0.7
Buffalo Sabres,5,-308.85,14,-22.06,20,0.39
Buffalo Sabres,6,1058.57,8,132.32,1,1.0
Buffalo Sabres,7,-162.3,16,-10.14,15,0.55
Calgary Flames,1,-1007.71,12,-83.98,27,0.16
Calgary Flames,2,475.63,8,59.45,6,0.84
Calgary Flames,3,-193.79,12,-16.15,17,0.48
Calgary Flames,4,1215.68,12,101.31,2,0.97
Calgary Flames,5,-244.08,9,-27.12,21,0.35
Calgary Flames,6,31.45,10,3.14,13,0.61
Calgary Flames,7,-795.07,14,-56.79,28,0.13
Carolina Hurricanes,1,-1099.0,12,-91.58,29,0.1
Carolina Hurricanes,2,2427.44,13,186.73,2,0.97
Carolina Hurricanes,3,136.85,13,10.53,14,0.58
Carolina Hurricanes,4,181.0,14,12.93,14,0.57
Carolina Hurricanes,5,-665.86,10,-66.59,28,0.13
Carolina Hurricanes,6,-652.17,10,-65.22,25,0.23
Carolina Hurricanes,7,-6.94,9,-0.77,12,0.65
Chicago Blackhawks,1,820.03,12,68.34,8,0.77
Chicago Blackhawks,2,-1021.18,19,-53.75,23,0.29
Chicago Blackhawks,3,-553.13,15,-36.88,20,0.39
Chicago Blackhawks,4,-691.51,15,-46.1,21,0.33
Chicago Blackhawks,5,-59.65,14,-4.26,16,0.52
Chicago Blackhawks,6,-292.58,17,-17.21,17,0.48
Chicago Blackhawks,7,-724.43,12,-60.37,30,0.06
Colorado Avalanche,1,731.56,11,66.51,9,0.74
Colorado Avalanche,2,-422.18,17,-24.83,19,0.42
Colorado Avalanche,3,163.25,8,20.41,12,0.65
Colorado Avalanche,4,-1053.82,11,-95.8,25,0.2
Colorado Avalanche,5,-10.75,9,-1.19,15,0.55
Colorado Avalanche,6,-677.95,11,-61.63,23,0.29
Colorado Avalanche,7,-506.67,12,-42.22,21,0.35
Columbus Blue Jackets,1,-667.64,14,-47.69,23,0.29
Columbus Blue Jackets,2,-1123.28,14,-80.23,26,0.19
Columbus Blue Jackets,3,596.31,8,74.54,5,0.87
Columbus Blue Jackets,4,1647.09,12,137.26,1,1.0
Columbus Blue Jackets,5,-603.85,13,-46.45,25,0.23
Columbus Blue Jackets,6,1163.4,12,96.95,4,0.9
Columbus Blue Jackets,7,300.97,12,25.08,8,0.77
Dallas Stars,1,-853.14,11,-77.56,25,0.23
Dallas Stars,2,2721.29,12,226.77,1,1.0
Dallas Stars,3,-244.51,11,-22.23,18,0.45
Dallas Stars,4,223.49,9,24.83,12,0.63
Dallas Stars,5,900.3,19,47.38,3,0.94
Dallas Stars,6,-349.69,8,-43.71,22,0.32
Dallas Stars,7,-88.37,5,-17.67,16,0.52
Detroit Red Wings,1,703.6,8,87.95,5,0.87
