team,draft_year,plus_minus,total_picks,avg_plus_minus_per_pick,team_color
Anaheim,2005,6,5,1.2,#F47A38
Anaheim,2006,89,5,17.8,#F47A38
Anaheim,2007,14,6,2.33,#F47A38
Anaheim,2008,119,9,13.22,#F47A38
Anaheim,2009,74,6,12.33,#F47A38
Anaheim,2010,370,8,46.25,#F47A38
Anaheim,2011,205,6,34.17,#F47A38
Anaheim,2012,249,7,35.57,#F47A38
Anaheim,2013,84,5,16.8,#F47A38
Anaheim,2014,218,5,43.6,#F47A38
Anaheim,2015,78,6,13.0,#F47A38
Anaheim,2016,139,6,23.17,#F47A38
Anaheim,2017,5,4,1.25,#F47A38
Arizona,2005,257,4,64.25,#8C2633
Arizona,2006,349,7,49.86,#8C2633
Arizona,2007,-82,5,-16.4,#8C2633
Arizona,2008,95,8,11.88,#8C2633
Arizona,2009,14,5,2.8,#8C2633
Arizona,2010,-93,3,-31.0,#8C2633
Arizona,2011,3,8,0.38,#8C2633
Arizona,2012,220,7,31.43,#8C2633
Arizona,2013,127,5,25.4,#8C2633
Arizona,2014,395,9,43.89,#8C2633
Arizona,2015,-12,7,-1.71,#8C2633
Arizona,2016,131,5,26.2,#8C2633
Arizona,2017,109,9,12.11,#8C2633
Boston,2005,239,8,29.88,#FFB81C
Boston,2006,223,6,37.17,#FFB81C
Boston,2007,151,6,25.17,#FFB81C
Boston,2008,119,5,23.8,#FFB81C
Boston,2009,174,5,34.8,#FFB81C
Boston,2010,263,7,37.57,#FFB81C
Boston,2011,-23,5,-4.6,#FFB81C
Boston,2012,399,5,79.8,#FFB81C
Boston,2013,277,6,46.17,#FFB81C
Boston,2014,361,5,72.2,#FFB81C
Boston,2015,-16,9,-1.78,#FFB81C
Boston,2016,208,6,34.67,#FFB81C
Boston,2017,265,5,53.0,#FFB81C
Buffalo,2005,385,8,48.12,#003087
Buffalo,2006,242,5,48.4,#003087
Buffalo,2007,289,6,48.17,#003087
Buffalo,2008,97,8,12.12,#003087
Buffalo,2009,214,5,42.8,#003087
Buffalo,2010,272,9,30.22,#003087
Buffalo,2011,54,5,10.8,#003087
Buffalo,2012,194,7,27.71,#003087
Buffalo,2013,150,10,15.0,#003087
Buffalo,2014,138,8,17.25,#003087
Buffalo,2015,161,6,26.83,#003087
Buffalo,2016,297,10,29.7,#003087
Buffalo,2017,96,5,19.2,#003087
Calgary,2005,135,6,22.5,#D2001C
Calgary,2006,465,7,66.43,#D2001C
Calgary,2007,207,5,41.4,#D2001C
Calgary,2008,219,7,31.29,#D2001C
Calgary,2009,47,5,9.4,#D2001C
Calgary,2010,197,6,32.83,#D2001C
Calgary,2011,34,4,8.5,#D2001C
Calgary,2012,187,6,31.17,#D2001C
Calgary,2013,144,8,18.0,#D2001C
Calgary,2014,100,5,20.0,#D2001C
Calgary,2015,290,5,58.0,#D2001C
Calgary,2016,309,8,38.62,#D2001C
Calgary,2017,272,5,54.4,#D2001C
Carolina,2005,230,9,25.56,#CC0000
Carolina,2006,400,6,66.67,#CC0000
Carolina,2007,217,5,43.4,#CC0000
Carolina,2008,97,4,24.25,#CC0000
Carolina,2009,127,6,21.17,#CC0000
Carolina,2010,65,7,9.29,#CC0000
Carolina,2011,32,5,6.4,#CC0000
Carolina,2012,271,7,38.71,#CC0000
Carolina,2013,129,4,32.25,#CC0000
Carolina,2014,201,6,33.5,#CC0000
Carolina,2015,408,8,51.0,#CC0000
Carolina,2016,-79,7,-11.29,#CC0000
Carolina,2017,200,7,28.57,#CC0000
Chicago,2005,325,11,29.55,#CF0A2C
Chicago,2006,225,8,28.12,#CF0A2C
Chicago,2007,-7,6,-1.17,#CF0A2C
Chicago,2008,296,7,42.29,#CF0A2C
Chicago,2009,387,8,48.38,#CF0A2C
Chicago,2010,172,8,21.5,#CF0A2C
Chicago,2011,117,10,11.7,#CF0A2C
Chicago,2012,173,6,28.83,#CF0A2C
Chicago,2013,363,8,45.38,#CF0A2C
Chicago,2014,367,8,45.88,#CF0A2C
Chicago,2015,328,7,46.86,#CF0A2C
Chicago,2016,171,8,21.38,#CF0A2C
