team,total_draft_value,total_picks,avg_per_pick,overall_rank,early_round_rank,picks_above_expectation,picks_below_expectation,avg_per_pick_pct,picks_above_expectation_pct,overall_rank_pct,early_round_rank_pct,picks_below_expectation_pct
Los Angeles Kings,5447.4,88,61.9,1,3,33,55,1.0,1.0,0.97,0.9,0.74
Ottawa Senators,3711.52,78,47.58,2,18,32,46,0.97,0.97,0.94,0.42,0.94
Vegas Golden Knights,330.64,10,33.06,3,1,2,8,0.94,0.03,0.9,0.97,0.97
Dallas Stars,2309.37,75,30.79,4,7,26,49,0.9,0.69,0.87,0.77,0.9
San Jose Sharks,2080.2,81,25.68,5,16,27,54,0.87,0.81,0.84,0.48,0.77
Toronto Maple Leafs,1937.6,87,22.27,6,17,26,61,0.84,0.69,0.81,0.45,0.27
Nashville Predators,1845.5,85,21.71,7,8,27,58,0.81,0.81,0.77,0.74,0.53
Tampa Bay Lightning,1841.9,86,21.42,8,11,25,61,0.77,0.65,0.74,0.65,0.27
St. Louis Blues,1389.58,89,15.61,9,2,28,61,0.74,0.92,0.71,0.94,0.27
Columbus Blue Jackets,1313.0,85,15.45,10,25,28,57,0.71,0.92,0.68,0.19,0.6
Detroit Red Wings,1175.28,87,13.51,11,5,23,64,0.68,0.55,0.65,0.84,0.16
Pittsburgh Penguins,917.22,71,12.92,12,4,21,50,0.65,0.34,0.61,0.87,0.87
Anaheim Ducks,808.15,78,10.36,13,19,24,53,0.61,0.61,0.58,0.39,0.82
Minnesota Wild,373.33,73,5.11,14,15,19,53,0.58,0.18,0.55,0.52,0.82
Edmonton Oilers,347.45,86,4.04,15,12,27,59,0.55,0.81,0.52,0.61,0.42
Carolina Hurricanes,321.32,81,3.97,16,10,23,56,0.52,0.55,0.48,0.68,0.68
Boston Bruins,213.03,78,2.73,17,9,22,56,0.48,0.45,0.45,0.71,0.68
Washington Capitals,25.0,78,0.32,18,6,21,56,0.45,0.34,0.42,0.81,0.68
Calgary Flames,-517.89,77,-6.73,19,21,18,59,0.42,0.13,0.39,0.32,0.42
Florida Panthers,-1014.97,86,-11.8,20,22,27,59,0.39,0.81,0.35,0.29,0.42
Buffalo Sabres,-1131.76,92,-12.3,21,26,27,65,0.35,0.81,0.32,0.16,0.11
Philadelphia Flyers,-1117.57,78,-14.33,22,14,20,58,0.32,0.24,0.29,0.55,0.53
New Jersey Devils,-1593.52,84,-18.97,23,24,19,65,0.29,0.18,0.26,0.23,0.11
New York Rangers,-1505.81,77,-19.56,24,23,17,59,0.26,0.1,0.23,0.26,0.42
Colorado Avalanche,-1776.56,79,-22.49,25,13,22,57,0.23,0.45,0.19,0.58,0.6
New York Islanders,-2031.11,88,-23.08,26,30,22,66,0.19,0.45,0.16,0.03,0.05
Chicago Blackhawks,-2522.45,104,-24.25,27,20,23,81,0.16,0.55,0.13,0.35,0.0
Montreal Canadiens,-2515.42,80,-31.44,28,29,21,59,0.13,0.34,0.1,0.06,0.42
Arizona Coyotes,-2757.16,82,-33.62,29,28,21,61,0.1,0.34,0.06,0.1,0.27
Winnipeg Jets,-3524.67,86,-40.98,30,27,20,66,0.06,0.24,0.03,0.13,0.05
Vancouver Canucks,-4952.39,75,-66.03,31,31,12,63,0.03,0.06,0.0,0.0,0.19
